objid,fileid,ra,dec,u,g,r,i,z,field
1237651213361611097,587725492136706370,260.49780568,57.38117069,20.247677,18.324425,17.334352,16.873501,16.538443,64
1237657856609747079,587732135384842337,179.25157112,52.21203784,18.624445,17.477381,17.056803,16.768696,16.576246,178
1237655693017350244,587729971792445556,229.83277529,-1.21659497,21.405003,21.324667,17.142735,16.659737,16.428192,138
1237662473695199548,587736752470294822,245.45043146,30.14886495,20.350172,18.714907,17.754129,17.346962,17.075993,111
1237659324418883786,587733442662432876,246.1960088,38.40669279,19.293285,17.978125,17.268917,16.884901,16.653717,240
1237661873481777380,588017627233583357,199.4566188,44.61477659,18.5525,17.715321,17.491568,17.339401,17.255869,237
1237661361297162390,588017115048968313,199.4806858,46.29323571,20.489244,18.572559,17.352295,16.861599,16.533678,88
1237663531336597710,587737810111693008,132.56485328,60.00457288,20.24242,18.575722,17.438391,16.894245,16.531378,198
1237665534927569128,587739708490318082,231.98806711,22.37736461,18.970358,17.731653,17.124483,16.787212,16.645866,26
1237663783143604374,588015508215562331,45.58120676,-0.64293628,20.994606,18.947044,17.613539,17.109066,16.709562,420
1237660612902453307,587734891677548554,175.73890314,8.83972689,19.615112,18.128325,17.497526,17.205494,17.053102,139
1237661433778012346,588298662506528981,206.2657164,44.83633796,18.914757,17.064238,16.22159,15.864951,15.545834,138
1237663547440300191,587737826215395454,126.69401127,55.1249249,19.343271,18.213999,17.696093,17.463354,17.346577,161
1237667735569563832,587742014344659155,153.12769181,19.78294129,20.155128,18.797285,17.778191,17.235802,16.797688,150
1237650370483585236,587724649258680556,183.77687503,-2.65692856,20.453632,18.292835,17.248766,16.78548,16.422739,206
1237648722849300549,588848901531238488,198.18446118,1.15566584,17.557732,16.097588,15.355554,14.938255,14.637938,550
1237655123929006182,588010877680812103,169.65587757,3.76429608,19.260273,17.404875,16.863482,16.554342,16.38418,59
1237662501088133537,587733398115975510,255.91874198,24.38146578,21.757751,18.583519,17.292377,16.787701,16.434406,302
1237665532260843893,587739811035939179,242.15355959,16.15171858,18.405252,17.172997,16.650362,16.333052,16.068769,295
1237674289684087132,587731680114376868,124.45321662,35.02661367,19.448174,18.204327,17.732101,17.415857,17.284222,65
1237658206116184207,588013381664440499,163.88113554,49.32935239,20.377981,18.026987,16.81267,16.326134,15.985992,231
1237661967427108960,588017721178914919,175.71212946,42.25905921,21.218893,19.135712,17.694872,17.174707,16.822144,129
1237661976011079889,588017729762885804,186.74039071,7.88928684,22.020111,18.640697,17.174326,16.635628,16.287899,38
1237664337712513189,587738616487608494,166.68133506,35.70528859,20.834854,18.842724,17.658079,17.140936,16.766642,134
1237667735052288128,587742013827383456,201.164902,21.55353976,19.714563,17.683254,16.615656,16.209301,15.828022,449
1237655468065227105,588848901010817273,235.67474029,0.78446048,19.567577,18.236189,17.37056,16.889988,16.577784,89
1237654383051342000,588010136803147977,136.15143383,52.40106299,20.026442,18.318548,17.405849,16.93689,16.585545,123
1237664289401471428,587738568176566591,208.24861317,12.86844173,19.113825,17.793421,17.209059,16.916618,16.718712,246
1237664852568047728,587739131343143033,208.88536006,34.44268252,18.122732,16.472223,15.63932,15.238161,14.943393,78
1237664853110489362,587739131885584662,223.56815506,30.90442966,20.710697,18.660952,17.590302,17.190643,16.833708,163
1237665428634337424,587739707409432718,214.51241254,26.58740521,20.128138,18.365721,17.504755,17.092321,16.783701,136
1237667323797045436,587741602572140593,193.20286726,27.79131334,18.262037,16.516424,15.665679,15.255052,14.972926,264
1237663784211972312,588015509283995799,33.3678807,0.09145847,19.257277,18.029148,17.213009,16.808903,16.513128,338
1237658612516192308,588295841244708918,163.78248073,47.63300076,19.130613,18.01376,17.661129,17.401588,17.307013,59
1237662306200387868,587736584975483185,241.15837238,26.61644572,18.99225,17.378786,16.621592,16.241508,15.955041,247
1237658423557816533,587732702332911861,169.23754293,7.07678536,21.06811,18.825724,17.55315,17.030663,16.635319,367
1237664339322863788,587738618097959081,165.60017213,36.89336256,19.218218,17.876835,17.18066,16.782745,16.515512,130
1237668270839562501,587742611884015787,236.88275056,11.76645932,19.692223,18.031633,17.254206,16.852982,16.566343,298
1237671124842905751,587745403618001065,154.64105961,15.81097712,19.515636,18.088707,17.389927,17.008139,16.735704,261
1237648721229906129,588848899911844075,178.11087197,-0.1084295,20.156883,18.086298,17.028225,16.45438,16.01725,416
1237649920042598429,587724198817693737,22.42041705,14.50510429,16.979153,15.529157,14.830236,14.484501,14.174449,110
1237651273504587906,587725552279683229,149.41107823,63.63087943,19.406433,17.863167,16.884573,16.5966,16.260176,269
1237650795146510627,587725073921605817,146.74414186,-0.6522198,21.334766,19.1311,17.710718,17.149128,16.756086,176
1237650795146576091,587725073921671400,146.93412687,-0.67040576,19.960762,17.993322,16.844757,16.360447,15.935325,177
1237650795146641532,587725073921736854,146.9635181,-0.75933082,20.318634,18.5103,17.612133,17.203705,16.899439,178
1237650795683512507,587725074458607824,146.95607539,-0.34229038,21.018984,18.915171,17.611507,17.035757,16.588652,178
1237648721216340148,588848899898278080,147.1146312,-0.16521916,20.982185,18.927114,17.52598,16.990273,16.57325,209
1237650795683446969,587725074458542267,146.9201175,-0.3064681,20.126299,18.558825,17.487724,16.988138,16.614424,177
