objid,redshift,plate,mjd,fiberid,class
1237648720142008515,0.067703,266,51630,137,GALAXY
1237650796219859138,0.145113,266,51630,183,GALAXY
1237648721215750366,0.062655,266,51630,199,GALAXY
1237650795146117231,0.098485,266,51630,211,GALAXY
1237648720141943039,0.098351,266,51630,212,GALAXY
1237650795146117247,0.067634,266,51630,216,GALAXY
1237648720678879482,0.142582,266,51630,219,GALAXY
1237648721215750297,0.062591,266,51630,221,GALAXY
1237648721215684769,0.145823,266,51630,223,GALAXY
1237648721215750163,0.143917,266,51630,224,GALAXY
1237648721215684759,0.091136,266,51630,231,GALAXY
1237648721215750320,0.145157,266,51630,237,GALAXY
1237648704023757044,0.144856,266,51630,239,GALAXY
1237650795145920759,0.146817,266,51630,241,GALAXY
1237650795145920729,0.090209,266,51630,242,GALAXY
1237650795145920732,0.146789,266,51630,245,GALAXY
1237648720678682916,0.125913,266,51630,254,GALAXY
1237650795145986295,0.218378,266,51630,255,GALAXY
1237650795145986369,0.217765,266,51630,256,GALAXY
1237650796219662548,0.121305,266,51630,261,GALAXY
1237650795682791609,0.148621,266,51630,264,GALAXY
1237650795682791626,0.035879,266,51630,265,GALAXY
1237650795682791646,0.146884,266,51630,268,GALAXY
1237648721215553783,0.09002,266,51630,272,GALAXY
1237650796219662509,0.090171,266,51630,279,GALAXY
1237650795145920715,0.131562,266,51630,291,GALAXY
1237648720678682871,0.089707,266,51630,292,GALAXY
1237648720141811978,0.151091,266,51630,293,GALAXY
1237650795682791578,0.051954,266,51630,302,GALAXY
1237648721215553734,0.091035,266,51630,304,GALAXY
1237650795682791595,0.204814,266,51630,306,GALAXY
1237650796219662479,0.120429,266,51630,307,GALAXY
1237650796219662494,0.120293,266,51630,309,GALAXY
1237648720678682858,0.153353,266,51630,317,GALAXY
1237648722289361169,0.098886,266,51630,323,GALAXY
1237650797293404284,0.147206,266,51630,325,GALAXY
1237650797293404366,0.146606,266,51630,330,GALAXY
1237650795146444862,0.064959,266,51630,17,GALAXY
1237648720142336237,0.065183,266,51630,41,GALAXY
1237650795146379400,0.127409,266,51630,45,GALAXY
1237650795146248378,0.203822,266,51630,90,GALAXY
1237650795146248369,0.203841,266,51630,97,GALAXY
1237650795683315926,0.12641,266,51630,102,GALAXY
1237648721216078463,0.045652,266,51630,103,GALAXY
1237648721216143430,0.121521,266,51630,111,GALAXY
